,Medal,Beer Name,Brewery,City,State,County,Category,Year
0,Gold,Quadtum Leap,Revelry Brewing Co.,Charleston,SC,Charleston,Aged Beer,2018
1,Silver,"Lock, Stock and Brandy Barrel",Maize Valley Craft Brewery,Hartville,OH,Stark,Aged Beer,2018
2,Bronze,Solzhenitsyn,Iron Hill Brewery & Restaurant - Media,Media,PA,Delaware,Aged Beer,2018
3,Gold,Whitewall Wheat,Crank Arm Brewing Co.,Raleigh,NC,Wake,American-Belgo-Style Ale,2018
4,Silver,#4.5 Dry Hopped Saison,Brown Truck Brewery,High Point,NC,Guilford,American-Belgo-Style Ale,2018
5,Bronze,Mischief,The Bruery,Placentia,CA,Orange,American-Belgo-Style Ale,2018
6,Gold,Pecos Amber Lager,Texas Beer Co.,Taylor,TX,Williamson,American-Style Amber Lager,2018
7,Silver,Märzen,Sudwerk Brewing Co.,Davis,CA,Yolo,American-Style Amber Lager,2018
8,Bronze,Oktoberfest,Lager Heads Brewing Co.,Medina,OH,Medina,American-Style Amber Lager,2018
9,Gold,West Coast Swing Amber,The Mitten Brewing Co.,Grand Rapids,MI,Kent,American-Style Amber/Red Ale,2018
10,Silver,Sepia Amber,Hopping Gnome Brewing Co.,Wichita,KS,Sedgwick,American-Style Amber/Red Ale,2018
11,Bronze,Avalon Amber Ale,Slack Tide Brewing Co.,Cape May Court House,NJ,Cape May,American-Style Amber/Red Ale,2018
12,Gold,Alpha Force Double Tap,Uberbrew,Billings,MT,Yellowstone,American-Style Black Ale,2018
13,Silver,Black the Riipper,Riip Beer Co.,Huntington Beach,CA,Orange,American-Style Black Ale,2018
14,Bronze,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,Cuyahoga,American-Style Black Ale,2018
15,Gold,Davy Brown Ale,Figueroa Mountain Brewing,Buellton,CA,Santa Barbara,American-Style Brown Ale,2018
16,Silver,Groundswell Piloncillo Brown Ale,Groundswell Brewing Co.,Santee,CA,San Diego,American-Style Brown Ale,2018
17,Bronze,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,Loudoun,American-Style Brown Ale,2018
18,Gold,Gateway Cream Ale,Lockport Brewery,Bolivar,OH,Tuscarawas,American-Style Cream Ale,2018
19,Silver,Dayblazer Easygoing Ale,New Belgium Brewing Co. - Ft. Collins,Fort Collins,CO,Larimer,American-Style Cream Ale,2018
20,Bronze,El Sully,21st Amendment Brewery,San Leandro,CA,Alameda,American-Style Cream Ale,2018
21,Gold,Raspberry Twist Lager,Garage Brewing Co.,Temecula,CA,Riverside,American-Style Fruit Beer,2018
22,Silver,Cherry Blonde,Ignite Brewing Co.,Barberton,OH,Summit,American-Style Fruit Beer,2018
23,Bronze,Tropic Maelstrom,Peter B's Brewpub,Monterey,CA,Monterey,American-Style Fruit Beer,2018
24,Gold,Bine,Root Down Brewing Co.,Phoenixville,PA,Chester,American-Style India Pale Ale,2018
25,Silver,Not an IPA (P.S. it's an IPA),Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,Rockingham,American-Style India Pale Ale,2018
26,Bronze,West Coast IPA is Dead!,Green Cheek Beer Co.,Orange,CA,Orange,American-Style India Pale Ale,2018
27,Gold,Lager,Appalachian Mountain Brewery - Boone,Boone,NC,Watauga,American-Style Lager or American-Style Malt Liquor,2018
